Y,X1,X2,X3 
21799950,830,103,255 
292557600,600,681,716 
94547200,160,869,680 
364661496,834,996,439 
43643600,65,770,872 
76006840,157,760,637 
48271950,725,137,486 
55855065,129,623,695 
93801708,572,171,959 
280514800,860,940,347 
50336650,322,925,169 
192573950,613,515,610 
76533120,215,618,576 
33509300,50,743,902 
4961304,8,669,927 
325549728,708,833,552 
17664482,59,682,439 
537924240,648,885,938 
68357520,822,504,165 
34242612,74,662,699 
283522464,796,408,873 
23840115,179,683,195 
30806334,738,247,169 
3827047,941,581,7 
55767735,255,807,271 
136745280,224,969,630 
89390608,458,787,248 
264067414,793,334,997 
196215316,587,428,781 
161952000,700,240,964 
33185810,434,205,373 
45995220,366,177,710 
101027304,613,218,756 
725496714,906,879,911 
34007040,615,288,192 
379923104,496,941,814 
200628638,371,749,722 
455072640,660,928,743 
151204800,425,408,872 
16456592,394,46,908 
9923798,43,898,257 
58487700,993,76,775 
349044668,532,809,811 
279680148,794,594,593 
58966104,307,604,318 
149301000,530,626,450 
484276800,994,600,812 
35947905,703,105,487 
49077861,287,479,357 
234985503,563,789,529 
111339734,814,437,313 
10221120,819,130,96 
146512280,764,254,755 
113446360,958,124,955 
282897385,359,865,911 
9654190,721,103,130 
711684,373,12,159 
106533,267,21,19 
544835970,945,921,626 
95102144,794,608,197 
163306962,334,597,819 
108181365,863,305,411 
9832704,168,118,496 
20731230,174,611,195 
10299192,31,381,872 
104585904,404,564,459 
37263240,620,162,371 
177325632,216,836,982 
68997800,355,226,860 
42927000,375,328,349 
45480240,312,258,565 
29077888,92,332,952 
1811095,149,935,13 
33233874,807,349,118 
47119761,521,773,117 
21013050,146,303,475 
44360040,74,970,618 
436872948,989,524,843 
140603980,172,979,835 
43269831,613,279,253 
13092550,425,211,146 
358159940,718,601,830 
52264960,320,352,464 
38482950,825,281,166 
6006960,103,432,135 
186837336,684,358,763 
28082880,735,199,192 
141051400,740,490,389 
154855092,334,798,581 
223740608,533,448,937 
141599692,233,806,754 
8095920,237,305,112 
510081152,896,571,997 
3835272,617,56,111 
902880,33,38,720 
178100832,988,696,259 
368170836,764,859,561 
30523544,596,883,58 
9462798,23,513,802 
221830035,443,665,753 
3125792,32,137,713 
30156084,353,113,756 
605605,847,5,143 
192605868,882,481,454 
54063264,422,314,408 
116508672,392,688,432 
220544280,360,671,913 
47660340,559,145,588 
161092800,550,432,678 
37823620,79,647,740 
368705792,476,931,832 
486144744,552,971,907 
139834752,348,928,433 
9999792,354,264,107 
62502552,798,214,366 
13786500,505,350,78 
63121040,190,634,524 
41159040,97,480,884 
45987810,146,345,913 
620708368,724,938,914 
75636720,388,570,342 
327887604,669,564,869 
525555680,835,712,884 
166250,38,5,875 
166657512,532,327,958 
4981680,222,33,680 
334241280,640,652,801 
7747454,103,143,526 
12210198,741,749,22 
4289780,187,155,148 
15507054,366,87,487 
960120,504,635,3 
3893820,210,146,127 
179934525,225,967,827 
51824500,170,938,325 
471450375,825,747,765 
56852400,80,885,803 
139104000,144,966,1000 
63846594,246,357,727 
127104450,605,235,894 
1344070,422,455,7 
58466880,303,720,268 
205708800,487,528,800 
173342070,495,622,563 
664592,146,569,8 
12141024,58,623,336 
311304,327,8,119 
52457076,301,206,846 
309730208,677,464,986 
502828690,818,637,965 
10103940,308,243,135 
155854776,287,561,968 
12424104,166,99,756 
28378638,453,318,197 
4685445,405,503,23 
165682866,842,613,321 
80547840,576,920,152 
365110080,740,541,912 
17312256,408,544,78 
8920044,828,567,19 
48625408,304,769,208 
92733725,833,305,365 
114978500,950,637,190 
13691628,228,541,111 
362432070,819,745,594 
344916000,396,1000,871 
192002896,376,782,653 
51715224,782,334,198 
104640984,612,531,322 
174356160,570,484,632 
186945600,240,986,790 
116870580,878,510,261 
468599076,913,636,807 
13643826,679,102,197 
350124192,618,592,957 
20426571,901,99,229 
325542624,618,584,902 
17949876,534,686,49 
16947840,64,390,679 
78048386,767,613,166 
235128808,404,733,794 
17253600,553,39,800 
31525344,799,288,137 
140261220,270,561,926 
26784000,900,120,248 
13290096,141,548,172 
116822640,660,548,323 
2108892,129,61,268 
3276000,600,35,156 
14747600,916,92,175 
787280,20,52,757 
70405944,76,966,959 
167151712,488,364,941 
8242090,194,145,293 
52205880,120,439,991 
184904235,909,213,955 
45098676,644,251,279 
200547810,615,417,782 
129062934,273,627,754 
241424336,893,488,554 
187742016,297,664,952 
9589216,148,178,364 
9672000,390,62,400 
627880896,864,846,859 
192495004,817,394,598 
44456960,914,380,128 
198229200,650,524,582 
63351288,234,462,586 
305667378,467,782,837 
367989514,554,697,953 
304002432,969,608,516 
28599480,162,485,364 
42187156,341,197,628 
427056,574,248,3 
194285000,500,637,610 
4880968,943,8,647 
129228822,879,458,321 
70940786,214,667,497 
152874000,745,400,513 
10899810,743,978,15 
464661016,911,619,824 
437728500,717,660,925 
39366,3,27,486 
5287875,75,239,295 
34213509,129,517,513 
80726068,422,202,947 
35191884,938,962,39 
481026000,875,881,624 
12602304,204,792,78 
186271176,406,519,884 
298876320,816,421,870 
370669824,752,978,504 
47782644,546,94,931 
85807260,630,902,151 
117397504,862,266,512 
49496832,434,432,264 
321480795,697,951,485 
120498840,276,882,495 
115996517,611,259,733 
75753240,820,173,534 
559662964,809,797,868 
6648564,218,299,102 
233646696,796,709,414 
14445200,275,536,98 
512634385,985,797,653 
12448430,89,142,985 
53652390,110,817,597 
45758322,653,102,687 
147097480,758,626,310 
495241188,732,923,733 
184877790,893,335,618 
128370501,609,999,211 
33271380,655,51,996 
88547252,863,113,908 
105890820,795,134,994 
5350200,74,964,75 
65666106,297,227,974 
117996381,271,479,909 
104126308,209,676,737 
98819910,691,454,315 
277795980,655,459,924 
9927792,84,201,588 
90594360,765,904,131 
9827832,98,411,244 
67944240,546,255,488 
74061702,417,299,594 
5103000,540,210,45 
79801848,219,723,504 
253463574,987,581,442 
39285972,876,151,297 
110595960,414,722,370 
352966743,551,981,653 
268444752,694,568,681 
8859520,20,508,872 
510684624,681,919,816 
682964784,978,954,732 
9066876,322,57,494 
98832690,963,933,110 
498730000,941,530,1000 
1043556,796,19,69 
94333539,883,447,239 
238715880,894,395,676 
16140880,80,259,779 
49325976,459,404,266 
566515404,977,702,826 
436291940,965,938,482 
119730,307,65,6 
680769088,874,964,808 
363062756,647,686,818 
304941440,610,584,856 
3334590,158,45,469 
7619808,204,232,161 
343450536,741,916,506 
80789684,337,821,292 
39753168,312,479,266 
32079135,395,253,321 
146694240,882,924,180 
12710880,336,97,390 
29533760,244,170,712 
102807360,326,720,438 
18867200,320,737,80 
53614470,958,273,205 
95621646,389,318,773 
233459154,643,414,877 
75774600,430,495,356 
255792992,466,676,812 
334724720,916,755,484 
84089887,217,809,479 
47756016,649,112,657 
43983324,387,154,738 
62583660,426,590,249 
99509544,366,556,489 
48009024,882,81,672 
160201965,451,595,597 
143362224,729,816,241 
261194220,743,930,378 
170594882,361,853,554 
63012753,597,151,699 
43181250,329,625,210 
172103900,475,956,379 
388927721,949,461,889 
76948716,377,438,466 
387020700,498,942,825 
133308225,239,925,603 
5056092,174,58,501 
164475560,983,712,235 
71394000,326,219,1000 
160549614,477,414,813 
719768672,938,796,964 
591817206,779,762,997 
20729970,797,30,867 
150642688,568,296,896 
20735288,553,43,872 
6783408,72,289,326 
48153600,760,176,360 
11267725,217,155,335 
132372240,429,665,464 
65950390,365,946,191 
59817600,992,300,201 
13569876,646,389,54 
5182008,24,977,221 
107750358,674,837,191 
197562240,824,324,740 
74925018,931,153,526 
963501,97,21,473 
10745280,861,320,39 
62207166,334,343,543 
310312458,782,639,621 
29816592,673,568,78 
151058880,381,885,448 
5157152,26,253,784 
36131865,77,861,545 
278413200,810,520,661 
222582976,517,496,868 
87135664,176,749,661 
87585540,372,961,245 
98356740,813,526,230 
41537848,242,188,913 
102289088,946,436,248 
201958824,717,514,548 
51242208,996,218,236 
206383434,646,977,327 
6656,64,26,4 
174607440,530,424,777 
28288128,444,176,362 
72462276,513,149,948 
7360640,868,106,80 
216634200,613,930,380 
39574848,496,327,244 
140284662,898,173,903 
165855300,430,897,430 
420910925,575,757,967 
17612112,129,424,322 
100583560,565,238,748 
23131626,133,574,303 
53842014,226,309,771 
37206840,60,794,781 
123682380,732,235,719 
101248602,637,177,898 
105962246,941,122,923 
39772152,146,322,846 
41453160,61,809,840 
30409470,273,235,474 
107726598,574,331,567 
749764522,947,962,823 
537679740,943,645,884 
60647270,415,178,821 
104855850,506,307,675 
17468448,76,314,732 
343052600,566,950,638 
132928224,552,286,842 
2210274,671,122,27 
148592880,997,368,405 
77782320,483,488,330 
413896000,560,778,950 
26891600,158,851,200 
11123892,834,18,741 
3763200,210,640,28 
66127128,771,302,284 
231797280,921,520,484 
209291148,473,723,612 
84582180,471,820,219 
1711400,215,10,796 
230557416,744,431,719 
3871935,43,261,345 
42939960,310,679,204 
48942322,611,121,662 
61073100,995,341,180 
99216120,248,745,537 
143127075,325,939,469 
7017472,11,896,712 
376324380,530,974,729 
69473376,294,547,432 
24473064,399,68,902 
462823963,833,833,667 
2812992,299,192,49 
137311040,587,544,430 
580356,882,7,94 
387375432,852,982,463 
55791296,946,194,304 
59259006,958,87,711 
89818092,169,777,684 
8000150,122,305,215 
187025550,479,950,411 
37520416,872,694,62 
144573660,228,671,945 
944946,54,19,921 
17103156,493,98,354 
19397602,161,214,563 
26980818,766,59,597 
88807320,691,540,238 
33016500,957,690,50 
116483892,427,381,716 
25087887,297,761,111 
50333888,152,568,583 
41679603,107,687,567 
393305750,575,730,937 
151872898,647,482,487 
107106648,326,418,786 
2848230,630,11,411 
18187455,183,715,139 
50458730,490,313,329 
262810880,632,460,904 
13928222,154,607,149 
15827823,319,447,111 
148117360,568,445,586 
19437392,299,136,478 
175861686,623,858,329 
109699084,604,209,869 
47483436,871,708,77 
5724180,59,294,330 
238374546,467,706,723 
415604800,689,832,725 
448632,186,67,36 
82744848,408,342,593 
31164672,132,544,434 
219983400,357,975,632 
7667702,809,14,677 
353323152,944,457,819 
18023148,389,286,162 
63141254,302,229,913 
10662400,340,980,32 
17159748,474,787,46 
87651816,236,717,518 
368981800,914,734,550 
12322800,630,60,326 
26509616,644,164,251 
61241301,913,257,261 
178878084,443,437,924 
84388500,250,399,846 
226015335,569,679,585 
53318304,611,288,303 
100237176,326,351,876 
152956440,260,609,966 
49318680,285,776,223 
95488416,666,206,696 
60463260,130,638,729 
18691326,82,589,387 
12867120,54,370,644 
11006667,357,43,717 
136581045,659,615,337 
1391904,36,716,54 
83812665,251,985,339 
60746763,561,217,499 
346783564,641,641,844 
311408088,564,769,718 
190252557,783,597,407 
623308740,815,782,978 
53751752,331,383,424 
689010,119,965,6 
301098996,334,942,957 
37427598,78,921,521 
16930550,325,427,122 
116005764,497,636,367 
8741040,110,301,264 
104468672,544,602,319 
66718200,844,170,465 
38673726,367,273,386 
14952924,162,133,694 
421071300,612,949,725 
77815440,460,333,508 
120408627,223,853,633 
34864830,602,135,429 
39837294,217,217,846 
283791627,691,477,861 
32779080,268,270,453 
13012880,632,710,29 
182082560,976,220,848 
44683296,826,392,138 
382676112,988,477,812 
164719230,613,390,689 
146814261,407,643,561 
20514312,404,126,403 
249863730,941,795,334 
12601344,293,64,672 
22302960,730,228,134 
155902418,686,241,943 
19238128,181,511,208 
25964070,505,627,82 
11637120,76,165,928 
142998912,672,828,257 
5184348,398,501,26 
249372785,569,515,851 
118047436,353,436,767 
124517184,856,264,551 
1809648,708,9,284 
107080922,817,923,142 
546295880,844,766,845 
153058836,966,698,227 
21374892,198,701,154 
20150200,259,200,389 
19459410,746,555,47 
121235500,425,839,340 
25897284,554,954,49 
29696706,717,234,177 
242569145,871,511,545 
188383860,645,684,427 
1722825,95,65,279 
27504320,736,101,370 
21152560,688,715,43 
205580140,370,706,787 
64331064,756,271,314 
30825600,169,760,240 
341179200,928,950,387 
46752013,413,451,251 
14019390,357,154,255 
98025864,114,947,908 
585933050,943,731,850 
282384960,561,605,832 
349782210,639,670,817 
115170804,574,314,639 
61966569,903,421,163 
194880000,696,350,800 
133624036,556,247,973 
376753937,733,707,727 
76902570,766,291,345 
1007370,82,819,15 
14799360,820,32,564 
21460725,897,33,725 
30105252,618,353,138 
141467508,588,403,597 
8421400,395,520,41 
62108812,571,284,383 
203652470,337,623,970 
189180290,785,299,806 
35263536,392,282,319 
31513370,146,881,245 
48568320,640,102,744 
16841790,134,285,441 
520468056,678,852,901 
21719880,273,884,90 
5116848,528,881,11 
45930192,204,748,301 
69546380,178,890,439 
492100,740,7,95 
80974960,334,319,760 
2519400,456,85,65 
198736200,780,342,745 
39536910,315,734,171 
22923680,130,412,428 
105444702,419,451,558 
431644710,866,505,987 
7448320,320,253,92 
60705700,121,692,725 
9671896,452,26,823 
14534300,724,275,73 
132039072,484,421,648 
217699116,604,951,379 
212998500,780,825,331 
136759350,430,455,699 
84529250,325,310,839 
120366028,626,254,757 
35601190,727,415,118 
4575417,683,203,33 
166529484,853,374,522 
72684150,825,434,203 
6418797,407,751,21 
410813440,779,640,824 
114710375,967,325,365 
106258593,167,861,739 
51939792,146,366,972 
559167532,706,973,814 
1264800,425,31,96 
91355040,456,315,636 
269771680,860,694,452 
77848060,131,691,860 
168098560,730,896,257 
9410016,469,228,88 
75327000,425,420,422 
27293568,592,68,678 
106133040,754,408,345 
41166090,947,690,63 
34784640,549,396,160 
17634372,742,233,102 
45130232,947,74,644 
20220928,196,256,403 
33384960,224,552,270 
44941407,471,317,301 
74108320,869,533,160 
15851520,768,30,688 
78752952,387,417,488 
109109700,378,502,575 
246001444,886,362,767 
57585600,465,516,240 
111228040,670,196,847 
146819610,967,723,210 
1162355,37,103,305 
242645216,473,544,943 
236378038,943,311,806 
161192200,988,325,502 
190027223,569,337,991 
63531216,756,141,596 
162277560,930,786,222 
203054919,969,779,269 
161200980,430,706,531 
164182464,828,486,408 
13843509,71,631,309 
212583,191,371,3 
167440820,982,578,295 
5210256,591,38,232 
119577728,614,716,272 
185920020,233,806,990 
113962628,548,941,221 
11119080,588,610,31 
213974865,713,351,855 
210403008,978,864,249 
36339768,636,214,267 
354420003,491,777,929 
46855368,798,63,932 
7504704,24,774,404 
278304908,734,511,742 
92796000,444,475,440 
1762794,921,11,174 
31201632,504,231,268 
52203690,729,77,930 
78298050,415,993,190 
2216625,575,5,771 
354869928,987,568,633 
1733424,268,42,154 
77300496,347,272,819 
139934208,408,932,368 
66861990,645,117,886 
22934272,64,887,404 
20620320,357,304,190 
4307952,16,451,597 
17128314,27,791,802 
21101850,675,98,319 
3201600,345,58,160 
94840960,758,184,680 
220177776,988,758,294 
38680404,98,471,838 
195464482,977,599,334 
32770890,246,321,415 
64415520,999,520,124 
80354778,966,193,431 
1260540,149,60,141 
588000,30,100,196 
6814962,149,231,198 
124171740,217,867,660 
147891120,780,214,886 
275771190,691,795,502 
1347200,421,10,320 
541697442,858,821,769 
48645900,838,150,387 
9537346,377,26,973 
147315000,610,250,966 
45313850,179,415,610 
10697024,26,559,736 
278125344,822,742,456 
2940864,578,6,848 
31212636,849,91,404 
108662235,253,627,685 
187368,296,211,3 
202853460,571,465,764 
407152512,468,877,992 
171662128,292,682,862 
51902148,114,977,466 
23010900,367,228,275 
331769244,606,662,827 
53802144,648,444,187 
44709288,507,292,302 
48368520,113,435,984 
86933350,137,925,686 
39184326,381,281,366 
147888840,398,563,660 
6965568,24,834,348 
183386944,832,227,971 
193544072,236,866,947 
28933200,141,600,342 
223435296,497,892,504 
27846720,576,165,293 
62651664,432,449,323 
179094888,287,729,856 
164794448,931,598,296 
8314020,390,22,969 
154512,222,1,696 
382168380,974,410,957 
221333838,634,447,781 
106118480,188,845,668 
6933366,873,19,418 
58554650,454,175,737 
194716764,396,753,653 
216714912,544,723,551 
41033160,266,857,180 
5954424,322,276,67 
77007968,992,149,521 
101911896,171,943,632 
17708781,93,487,391 
159350728,694,274,838 
17513808,884,127,156 
63475200,304,870,240 
606216,134,58,78 
31527134,997,97,326 
1460200,280,745,7 
1754445,77,217,105 
108727875,225,761,635 
934848216,984,951,999 
29714256,234,296,429 
3892608,109,64,558 
5281430,361,77,190 
25329108,651,137,284 
738234,567,93,14 
45509952,544,219,382 
3713024,32,784,148 
305281080,492,645,962 
180174764,539,386,866 
91623600,821,744,150 
6558420,20,627,523 
155782527,789,569,347 
7674966,13,783,754 
11825268,884,91,147 
89678160,804,845,132 
56517186,583,214,453 
19533510,510,51,751 
4464299,739,7,863 
25775673,463,241,231 
163410324,561,707,412 
195102336,352,627,884 
203532560,308,703,940 
6591024,657,418,24 
89313840,810,154,716 
241980720,934,680,381 
490479408,906,876,618 
4455500,38,175,670 
9934155,105,671,141 
6029760,48,571,220 
82972680,137,980,618 
292846280,670,967,452 
72103766,289,994,251 
14015400,420,355,94 
28573506,507,101,558 
2151448,274,26,302 
90007840,218,520,794 
82102950,997,366,225 
2567916,117,124,177 
14437215,555,69,377 
281484720,968,718,405 
198800448,392,561,904 
50006730,870,229,251 
644742,51,49,258 
30926376,94,666,494 
25886580,102,410,619 
197930304,312,891,712 
241712460,935,501,516 
129373944,291,952,467 
10407744,36,456,634 
31041342,681,426,107 
22665216,434,128,408 
13989472,361,56,692 
357520954,959,859,434 
86539104,162,718,744 
3907456,356,196,56 
376438008,543,772,898 
356333296,904,943,418 
38979353,973,413,97 
13314348,47,549,516 
427614,66,209,31 
43378415,937,985,47 
366286089,739,537,923 
350558208,988,768,462 
21392824,131,596,274 
10768896,123,512,171 
12629414,601,38,553 
5305500,655,162,50 
32703275,95,605,569 
34960560,370,248,381 
27219696,489,784,71 
108700020,451,390,618 
1605560,979,10,164 
603949434,727,902,921 
109831705,773,157,905 
45594696,959,566,84 
13213440,111,744,160 
452507328,679,712,936 
172755666,421,447,918 
40301271,899,51,879 
325233307,527,917,673 
45057255,809,141,395 
1527960,595,214,12 
21005005,329,565,113 
11187190,833,158,85 
97032170,155,713,878 
8577504,39,696,316 
107382240,670,189,848 
224756532,726,378,819 
578198348,988,763,767 
21837970,359,395,154 
254078640,456,615,906 
29090304,576,107,472 
121902960,564,404,535 
281439360,366,960,801 
613318860,836,765,959 
28788984,239,126,956 
1238193,11,379,297 
42952616,632,133,511 
341424720,540,819,772 
87773430,699,290,433 
59919552,392,579,264 
296000,37,20,400 
164683904,868,392,484 
185145138,639,554,523 
120600189,383,593,531 
56993664,392,624,233 
53062780,478,653,170 
26255824,653,718,56 
81191760,982,318,260 
11632356,666,41,426 
10254920,148,82,845 
264955200,867,955,320 
87434752,778,439,256 
13510330,95,211,674 
11710960,136,218,395 
346399200,900,812,474 
3845088,156,158,156 
19517184,96,516,394 
8399666,607,187,74 
6858432,432,28,567 
14425180,812,209,85 
381528288,984,818,474 
10983672,62,222,798 
568230,47,39,310 
1450440,30,68,711 
73337110,707,943,110 
11752100,31,850,446 
11245500,255,175,252 
36034848,288,179,699 
356300450,550,901,719 
216175128,663,424,769 
110279400,155,980,726 
142721256,536,681,391 
51924220,430,173,698 
7200060,28,553,465 
60447189,901,209,321 
31959900,450,178,399 
4527138,246,239,77 
12603023,257,89,551 
36049344,96,523,718 
23637868,457,386,134 
127460949,257,627,791 
96075210,363,995,266 
112167200,941,149,800 
205102496,587,358,976 
6648026,11,686,881 
86238446,142,859,707 
59596992,379,208,756 
22207903,571,89,437 
109715515,305,767,469 
183471691,467,611,643 
12141360,126,120,803 
19159200,887,600,36 
349774656,802,616,708 
17434559,461,59,641 
22967232,366,592,106 
245854224,389,684,924 
21337686,153,677,206 
114268104,863,216,613 
17871000,777,25,920 
31760668,607,127,412 
93766288,238,814,484 
9384606,99,777,122 
132187788,981,228,591 
10019130,939,22,485 
63695520,568,623,180 
83063190,238,795,439 
187494912,822,264,864 
5054984,17,341,872 
25286338,253,154,649 
68889587,377,359,509 
94189080,327,380,758 
237869082,757,414,759 
59607720,207,626,460 
45091520,290,344,452 
14187312,656,267,81 
684209268,881,846,918 
33584796,723,79,588 
6111290,415,199,74 
11520,256,1,45 
212304140,746,745,382 
369496750,686,695,775 
178540740,951,596,315 
15097248,248,171,356 
353581116,644,591,929 
17269824,52,629,528 
120430503,453,327,813 
172829610,321,786,685 
3999000,100,62,645 
1358370,90,27,559 
24116400,870,36,770 
1235331,303,9,453 
486563505,811,851,705 
565636764,957,836,707 
87604440,998,836,105 
116761500,675,372,465 
40487705,277,205,713 
80572635,209,585,659 
341115574,694,997,493 
47934900,585,170,482 
12983040,69,640,294 
95892750,391,250,981 
272315904,868,456,688 
248668704,486,566,904 
7331104,353,352,59 
6139584,646,216,44 
68250240,544,738,170 
78902516,973,209,388 
87523776,976,423,212 
37132376,388,878,109 
123907248,677,492,372 
191664440,610,814,386 
64318800,266,465,520 
115003800,916,155,810 
382574842,494,823,941 
509569130,679,994,755 
360965220,483,790,946 
32136715,221,229,635 
787788,79,554,18 
11996865,841,951,15 
9419760,534,630,28 
319369050,546,825,709 
6178640,8,914,845 
236727720,799,823,360 
467662240,592,985,802 
122065200,246,600,827 
1728012,39,53,836 
166332456,404,534,771 
137644650,279,975,506 
296873152,568,827,632 
44412420,97,780,587 
636992,37,269,64 
171606024,942,646,282 
876800,685,4,320 
414685696,829,977,512 
1647000,25,270,244 
2195876,37,401,148 
393312231,753,681,767 
339979104,927,584,628 
231559650,795,730,399 
42443280,233,396,460 
744578172,939,884,897 
246154356,358,963,714 
29265600,280,312,335 
227119860,330,753,914 
17200300,325,262,202 
81221760,239,640,531 
6539390,34,715,269 
224373812,779,382,754 
119462736,898,138,964 
265689900,905,630,466 
44374176,414,464,231 
24651900,559,441,100 
100673244,147,868,789 
402842880,561,880,816 
4557940,20,349,653 
485285808,742,952,687 
35743530,710,97,519 
44241344,592,628,119 
99333864,359,756,366 
5499000,195,300,94 
21162615,355,93,641 
114356875,799,229,625 
19861884,42,879,538 
563971968,776,882,824 
131989568,284,937,496 
17236062,391,62,711 
135914912,713,296,644 
43070000,118,500,730 
222154240,920,448,539 
75584340,962,90,873 
33054192,284,636,183 
5016600,929,6,900 
87675543,237,389,951 
9448200,725,181,72 
15756420,313,839,60 
155007776,608,539,473 
18070482,541,57,586 
211014552,498,518,818 
20050200,135,316,470 
9361989,161,497,117 
124928244,972,427,301 
61966080,495,652,192 
16304112,584,141,198 
324720060,833,730,534 
37597920,148,435,584 
11302634,287,194,203 
53365840,148,605,596 
155409408,704,584,378 
722415162,861,947,886 
83626425,305,405,677 
221899860,868,585,437 
174122211,877,687,289 
15577002,441,58,609 
58583232,848,909,76 
389506656,948,638,644 
6109488,203,836,36 
264404480,512,895,577 
3290976,586,312,18 
31139052,777,466,86 
147471456,389,718,528 
100540440,567,260,682 
375757072,881,976,437 
84825840,230,762,484 
2478861,803,9,343 
77625,115,27,25 
206976024,743,477,584 
61498440,666,108,855 
104751108,682,966,159 
22524855,97,411,565 
138528396,316,727,603 
42555180,661,555,116 
75982860,153,534,930 
116674096,326,616,581 
2564760,232,33,335 
54662400,292,450,416 
17639946,719,29,846 
300321216,754,461,864 
81470784,971,736,114 
76957500,662,625,186 
193926975,751,939,275 
82616430,255,442,733 
338579472,907,707,528 
218239320,555,796,494 
48842856,711,554,124 
60692112,808,107,702 
133511544,837,628,254 
13452480,173,81,960 
812136,137,52,114 
50919409,563,607,149 
47869570,463,245,422 
28063376,317,503,176 
108208800,160,855,791 
339985,485,701,1 
