Y,X1,X2,X3, 
513135966,771,694,959, 
53350024,722,182,406, 
493698240,945,907,576, 
13091760,135,176,551, 
223455078,693,881,366, 
27599610,186,295,503, 
63891984,114,884,634, 
59467870,826,121,595, 
81578838,138,881,671, 
41821272,243,852,202, 
34809480,360,579,167, 
3568188,13,356,771, 
2693760,64,138,305, 
308282226,919,489,686, 
327598320,735,626,712, 
599303800,743,925,872, 
34342000,892,700,55, 
15907950,261,106,575, 
81661730,989,359,230, 
377488128,544,696,997, 
10264104,164,183,342, 
556884000,600,930,998, 
103209444,477,494,438, 
39048515,395,473,209, 
42186324,276,353,433, 
74316520,293,746,340, 
376118379,819,943,487, 
2028720,15,158,856, 
64819202,233,434,641, 
156355584,512,661,462, 
308978712,882,526,666, 
29665878,779,66,577, 
390016380,878,670,663, 
4430972,47,148,637, 
42415680,120,782,452, 
15172893,477,461,69, 
479104470,865,789,702, 
69424360,181,860,446, 
42352640,752,88,640, 
92961414,406,309,741, 
652050,69,14,675, 
220593110,878,545,461, 
54781650,651,170,495, 
441329130,967,461,990, 
43676160,968,705,64, 
6563700,33,450,442, 
112412160,738,448,340, 
201512500,470,490,875, 
752514,861,1,874, 
24770088,588,59,714, 
182065625,725,875,287, 
2563020,982,3,870, 
138972384,872,466,342, 
137334024,901,876,174, 
137367720,906,210,722, 
35537866,301,478,247, 
11129040,984,377,30, 
87817620,470,447,418, 
14710192,784,647,29, 
297024,78,238,16, 
357907842,909,822,479, 
40861800,175,621,376, 
62723070,579,785,138, 
91555182,813,822,137, 
601405416,718,954,878, 
99337238,826,143,841, 
4412205,805,189,29, 
48081722,331,962,151, 
78061620,841,390,238, 
18954652,593,262,122, 
203273000,818,500,497, 
24523072,344,536,133, 
79013970,161,615,798, 
27139020,670,258,157, 
6203835,755,99,83, 
180384480,694,361,720, 
24726000,650,60,634, 
49656816,132,564,667, 
213380550,725,498,591, 
107276664,901,123,968, 
58837374,321,306,599, 
211330080,710,702,424, 
339017976,759,888,503, 
31635968,112,388,728, 
108327366,153,721,982, 
170943500,650,289,910, 
3320832,32,276,376, 
426831808,496,988,871, 
148560060,341,636,685, 
108384766,994,421,259, 
398492820,939,660,643, 
190995000,500,642,595, 
41683440,145,636,452, 
106661142,498,987,217, 
77082144,526,688,213, 
186518024,788,583,406, 
86592,11,24,328, 
106877232,616,238,729, 
50345874,101,543,918, 
565449710,917,805,766, 
221301900,695,366,870, 
23353759,197,829,143, 
40664,46,884,1, 
60509358,663,318,287, 
16125480,243,395,168, 
32673024,928,978,36, 
434939610,941,465,994, 
302013784,956,382,827, 
11011968,176,396,158, 
66548115,765,271,321, 
6102963,603,29,349, 
75823488,312,664,366, 
141803700,445,678,470, 
30142056,133,399,568, 
364842576,906,658,612, 
4637360,686,40,169, 
208418580,465,911,492, 
514242384,701,899,816, 
255479018,281,911,998, 
43520728,193,568,397, 
301069480,764,502,785, 
5033556,684,33,223, 
52881104,883,304,197, 
175785159,713,341,723, 
122284698,354,529,653, 
76981950,986,225,347, 
308736624,353,959,912, 
78517152,464,238,711, 
139926118,983,206,691, 
195841240,613,980,326, 
2046204,503,36,113, 
26458236,147,566,318, 
27199564,817,812,41, 
28227780,129,420,521, 
97347222,111,942,931, 
179080092,513,788,443, 
20759552,776,76,352, 
3856420,305,436,29, 
223382172,676,481,687, 
70317832,107,923,712, 
691296900,868,925,861, 
2096336,4,946,554, 
19674576,893,918,24, 
39379680,72,580,943, 
381696,896,3,142, 
489104280,714,932,735, 
123814383,697,231,769, 
92670904,277,568,589, 
165288435,403,555,739, 
173267897,517,589,569, 
147453980,899,590,278, 
9339120,510,654,28, 
141711501,879,263,613, 
18779640,165,694,164, 
37170714,294,529,239, 
499392,288,2,867, 
41509792,622,86,776, 
897000,750,46,26, 
165601968,588,724,389, 
159182048,584,821,332, 
33850308,116,633,461, 
16112000,200,190,424, 
512254847,923,751,739, 
39587184,216,494,371, 
118629072,849,213,656, 
135669624,844,734,219, 
10028830,211,49,970, 
75029760,864,835,104, 
292748904,852,707,486, 
4674864,337,34,408, 
475422720,960,584,848, 
376244114,554,919,739, 
3908301,167,29,807, 
167346432,992,216,781, 
331586853,647,773,663, 
211061538,361,729,802, 
4770500,235,100,203, 
53938950,139,398,975, 
115713000,360,989,325, 
376079648,872,844,511, 
65024640,795,568,144, 
1815116,61,86,346, 
57754074,566,301,339, 
23942912,862,56,496, 
640866389,883,863,841, 
218364363,301,873,831, 
197061130,623,470,673, 
14757654,321,181,254, 
864224,113,16,478, 
102157380,879,894,130, 
47664288,864,497,111, 
40561080,436,210,443, 
277066074,346,879,911, 
107999154,171,691,914, 
51469938,314,351,467, 
184318316,988,203,919, 
93120160,470,427,464, 
101504000,520,976,200, 
288351360,888,990,328, 
29613934,49,881,686, 
485644176,717,822,824, 
192642725,445,935,463, 
6600432,398,691,24, 
2338000,167,560,25, 
277316325,507,935,585, 
241507008,432,636,879, 
177122648,716,691,358, 
159105625,887,625,287, 
78062400,417,480,390, 
11154370,151,83,890, 
71667536,961,79,944, 
39230730,510,333,231, 
124519010,805,869,178, 
286979363,703,629,649, 
146945150,710,781,265, 
81600920,305,631,424, 
6883440,43,920,174, 
53153992,758,188,373, 
268198560,543,588,840, 
224115890,773,367,790, 
92044800,272,423,800, 
244986133,673,833,437, 
161464500,636,375,677, 
72667521,353,267,771, 
92594,2,67,691, 
40985728,298,448,307, 
231340,43,20,269, 
98869008,238,911,456, 
8577088,793,16,676, 
116750514,554,597,353, 
206114040,460,558,803, 
143116064,686,944,221, 
89690328,468,273,702, 
88300058,811,539,202, 
36607230,618,359,165, 
628643406,822,811,943, 
8510740,265,62,518, 
56054100,580,379,255, 
140346000,575,678,360, 
197831970,999,246,805, 
56544558,137,434,951, 
105048090,382,679,405, 
3916200,122,428,75, 
120218,62,7,277, 
14769600,724,300,68, 
224723613,659,577,591, 
240948,6,291,138, 
2196000,900,10,244, 
77392530,305,254,999, 
22966528,268,103,832, 
52234260,802,334,195, 
71684642,127,769,734, 
293825198,709,587,706, 
661824000,766,960,900, 
49367568,138,388,922, 
352240000,740,1000,476, 
16266626,302,61,883, 
666304110,831,906,885, 
2032000,10,320,635, 
61339656,581,318,332, 
74717500,605,988,125, 
148570872,862,636,271, 
80047392,628,141,904, 
129236640,208,695,894, 
91171808,956,104,917, 
64940736,229,336,844, 
2349360,30,753,104, 
318904960,352,934,970, 
13710400,164,110,760, 
7533344,182,796,52, 
244732740,283,994,870, 
79373294,902,91,967, 
27204525,75,983,369, 
431838162,981,987,446, 
117572000,200,884,665, 
223462800,855,495,528, 
76712103,277,351,789, 
189142340,722,335,782, 
154513484,193,859,932, 
168176736,806,567,368, 
1330500,887,15,100, 
85375458,567,158,953, 
26714684,713,493,76, 
27200096,196,664,209, 
45329788,292,331,469, 
17118036,948,463,39, 
2015676,59,52,657, 
249768420,788,935,339, 
55257312,134,726,568, 
360646992,621,592,981, 
298365312,784,404,942, 
93079020,820,241,471, 
164369920,898,880,208, 
51829760,212,640,382, 
19845576,489,57,712, 
116233488,912,441,289, 
158193126,714,299,741, 
31100625,475,97,675, 
109006128,924,348,339, 
229417916,818,469,598, 
96963955,293,605,547, 
243226574,727,409,818, 
33231408,994,84,398, 
53007372,198,963,278, 
271122432,896,384,788, 
111751728,542,363,568, 
98652330,274,635,567, 
362874096,507,888,806, 
67132329,479,341,411, 
162823716,759,404,531, 
69396152,989,179,392, 
331596720,819,420,964, 
133017280,212,713,880, 
124851363,827,637,237, 
74483136,812,117,784, 
107039232,696,576,267, 
151811712,186,936,872, 
291616721,407,899,797, 
92851410,151,995,618, 
9481000,50,380,499, 
189415408,287,668,988, 
87275664,147,684,868, 
57480320,760,652,116, 
35372736,849,651,64, 
36622098,167,393,558, 
187629750,266,855,825, 
165602176,608,596,457, 
2540070,338,835,9, 
188241900,435,770,562, 
121019210,338,709,505, 
235037660,482,682,715, 
103171725,255,999,405, 
111046208,829,364,368, 
126289830,633,281,710, 
12073880,535,728,31, 
56852864,241,388,608, 
113496691,203,583,959, 
41913069,309,209,649, 
2702910,427,10,633, 
126437760,271,864,540, 
1189485,15,801,99, 
18041400,72,325,771, 
84549234,917,121,762, 
72045957,263,381,719, 
85331455,479,451,395, 
294928425,759,471,825, 
2667510,277,535,18, 
23555592,456,201,257, 
221252688,918,641,376, 
87773028,911,259,372, 
28784249,169,181,941, 
279977260,830,743,454, 
102422824,794,238,542, 
68387124,241,321,884, 
370891440,837,764,580, 
752400,380,55,36, 
14154588,79,237,756, 
829091904,969,928,922, 
343233560,580,659,898, 
9775671,267,41,893, 
135991650,642,229,925, 
64100256,601,132,808, 
102495540,140,831,881, 
114352520,524,314,695, 
262012014,813,771,418, 
84181608,669,196,642, 
33993856,992,52,659, 
3292510,430,403,19, 
124495488,144,884,978, 
194568192,522,512,728, 
195335070,735,287,926, 
16012689,309,673,77, 
33906600,630,207,260, 
112396032,303,384,966, 
26330070,390,373,181, 
320352,71,282,16, 
86761545,195,733,607, 
13792896,96,307,468, 
7643412,619,686,18, 
10281250,175,125,470, 
6218570,94,505,131, 
8046780,805,476,21, 
13476720,233,723,80, 
13092060,230,159,358, 
2876775,317,33,275, 
15933024,162,144,683, 
87536610,213,618,665, 
34880584,131,664,401, 
140180640,820,204,838, 
91785204,167,727,756, 
151322160,516,682,430, 
21402270,397,599,90, 
76531060,206,970,383, 
14301,681,7,3, 
4612872,346,606,22, 
354978000,975,656,555, 
220772055,483,809,565, 
56259833,469,863,139, 
819910,26,371,85, 
154649586,559,941,294, 
15617536,118,517,256, 
225907725,519,757,575, 
278604604,547,571,892, 
25613775,75,393,869, 
450326200,575,878,892, 
224416405,601,391,955, 
310014688,488,964,659, 
129066240,580,456,488, 
61019460,85,867,828, 
152753760,444,376,915, 
106582860,255,732,571, 
5527448,838,68,97, 
76364496,114,678,988, 
106516404,626,274,621, 
151130448,486,504,617, 
1521168,67,344,66, 
5901628,122,134,361, 
135334416,696,646,301, 
41424240,715,272,213, 
6400674,861,826,9, 
327397766,746,709,619, 
199104856,947,328,641, 
739860,380,11,177, 
115673420,566,382,535, 
376726800,939,472,850, 
26873280,992,210,129, 
136436562,417,657,498, 
61543755,819,791,95, 
100719393,929,509,213, 
237707190,346,945,727, 
158450700,355,645,692, 
773614240,952,820,991, 
217534888,719,472,641, 
356793310,446,829,965, 
478049250,925,690,749, 
9043416,387,254,92, 
257462469,363,981,723, 
148391520,614,636,380, 
440652960,843,660,792, 
297412080,966,895,344, 
14042700,743,35,540, 
174495200,395,880,502, 
23113618,86,461,583, 
3495464,482,49,148, 
8326080,504,118,140, 
225622188,627,573,628, 
39089952,594,457,144, 
150037920,864,227,765, 
61048575,747,467,175, 
411432912,968,918,463, 
5917173,471,17,739, 
416898240,776,726,740, 
5653440,32,302,585, 
6754100,685,68,145, 
492656504,568,989,877, 
122270856,137,907,984, 
10085035,173,655,89, 
4568512,152,104,289, 
8509892,106,293,274, 
38679930,265,901,162, 
303827355,579,621,845, 
581477220,852,789,865, 
100535875,391,425,605, 
119332992,444,296,908, 
35226000,95,900,412, 
3740136,68,178,309, 
217109732,266,914,893, 
14144680,671,136,155, 
166045788,342,729,666, 
210733040,310,796,854, 
47921328,621,104,742, 
281133160,388,941,770, 
5414400,20,320,846, 
10704000,64,446,375, 
137136186,783,418,419, 
520368,1,888,586, 
408116604,619,987,668, 
234218040,653,490,732, 
181860096,412,608,726, 
5271972,17,601,516, 
103068948,932,193,573, 
19834148,229,118,734, 
43217184,851,736,69, 
8251392,237,544,64, 
268974420,470,858,667, 
3706290,159,37,630, 
104077176,376,807,343, 
67766832,316,333,644, 
6738578,77,98,893, 
42619000,85,872,575, 
10129280,112,532,170, 
2915424,159,24,764, 
149688,24,33,189, 
201751620,842,245,978, 
18655646,337,89,622, 
230827104,864,617,433, 
75400170,285,358,739, 
67558160,958,215,328, 
20135352,179,129,872, 
241693893,861,411,683, 
196334700,411,562,850, 
14836608,36,636,648, 
344160495,579,595,999, 
17761200,41,912,475, 
1588860,291,260,21, 
104821500,525,745,268, 
281534,11,67,382, 
276970752,912,342,888, 
566580,570,71,14, 
70319190,215,906,361, 
72772890,718,233,435, 
2062368,63,96,341, 
219117822,438,979,511, 
553240611,829,693,963, 
1924910,65,871,34, 
162545776,958,334,508, 
74934720,441,236,720, 
17982600,615,170,172, 
9169862,403,734,31, 
82296990,479,747,230, 
185980600,650,932,307, 
30251325,71,897,475, 
16566420,670,78,317, 
233264976,854,599,456, 
16940160,346,576,85, 
170123668,236,781,923, 
142159251,167,897,949, 
222946380,285,893,876, 
49770288,136,486,753, 
95389329,343,287,969, 
803160,970,69,12, 
74735784,492,582,261, 
402452512,701,932,616, 
2157360,80,267,101, 
494822013,907,581,939, 
6018544,493,763,16, 
327692,61,316,17, 
60531840,310,339,576, 
1552360,394,788,5, 
143913510,702,395,519, 
25654125,87,337,875, 
373480536,761,726,676, 
34554744,218,259,612, 
168898840,565,869,344, 
11185644,339,226,146, 
12659283,287,117,377, 
24174080,568,448,95, 
102879588,406,807,314, 
36864330,246,205,731, 
415781520,604,770,894, 
63041440,560,946,119, 
348897444,623,791,708, 
93288672,387,992,243, 
118063215,153,983,785, 
238600110,294,965,841, 
14187936,491,84,344, 
103055328,914,324,348, 
24433080,595,87,472, 
267074080,476,845,664, 
428743360,934,608,755, 
8596250,230,299,125, 
132005900,535,676,365, 
75027040,88,907,940, 
127943696,212,628,961, 
106727250,870,701,175, 
552027000,700,970,813, 
444246,33,106,127, 
675980175,975,857,809, 
105013434,761,422,327, 
3738150,923,450,9, 
29362255,557,65,811, 
203196000,800,287,885, 
42864140,935,157,292, 
207920892,843,788,313, 
693443076,893,978,794, 
113218266,617,514,357, 
551731383,851,753,861, 
13538070,910,171,87, 
2200548,782,3,938, 
183974480,269,830,824, 
469060940,799,745,788, 
656964,462,711,2, 
531024,52,111,92, 
377272500,750,538,935, 
1172500,67,500,35, 
164786886,513,341,942, 
435474424,616,797,887, 
64322076,394,322,507, 
3642120,15,536,453, 
77061270,506,781,195, 
38348892,909,199,212, 
52457328,996,198,266, 
490047943,823,847,703, 
26444376,36,994,739, 
27384198,607,219,206, 
42965760,96,668,670, 
179685000,605,360,825, 
20323848,248,463,177, 
63318872,113,787,712, 
73320126,627,991,118, 
14898750,58,411,625, 
14782675,547,47,575, 
7523313,61,839,147, 
13320510,685,463,42, 
180821838,661,381,718, 
382013808,759,758,664, 
62421280,433,160,901, 
138066584,526,311,844, 
451137984,528,941,908, 
546447310,991,823,670, 
109317735,855,391,327, 
36228136,862,266,158, 
119006800,740,172,935, 
5824608,996,136,43, 
176979704,472,979,383, 
205308096,448,883,519, 
110690580,485,572,399, 
33820362,761,54,823, 
112912800,517,260,840, 
66482012,662,298,337, 
12366200,242,365,140, 
2087316,12,231,753, 
820260,378,35,62, 
155871000,500,414,753, 
248146080,874,676,420, 
115108560,552,993,210, 
8923824,273,48,681, 
151048800,518,486,600, 
10620720,894,90,132, 
29366400,138,350,608, 
179008312,316,941,602, 
51702498,706,237,309, 
14665365,215,159,429, 
9449625,25,565,669, 
185361504,464,479,834, 
30947175,525,401,147, 
186130467,729,391,653, 
578350999,983,901,653, 
23266800,300,281,276, 
10235394,51,249,806, 
50162598,163,417,738, 
24008875,209,919,125, 
6734975,425,299,53, 
153248524,407,557,676, 
46313640,61,760,999, 
21796800,608,239,150, 
14758224,353,67,624, 
51069600,164,519,600, 
99026895,869,321,355, 
111872460,518,690,313, 
28117578,249,262,431, 
76855800,300,406,631, 
124902963,939,439,303, 
146458400,979,374,400, 
35316848,421,856,98, 
68409360,612,405,276, 
127617984,304,621,676, 
5201820,60,171,507, 
24800490,55,738,611, 
91044252,857,227,468, 
57656448,134,664,648, 
621061740,915,988,687, 
292486860,713,860,477, 
73224200,175,542,772, 
242835840,480,828,611, 
521305200,790,940,702, 
82497600,510,674,240, 
74536000,385,968,200, 
447485350,709,971,650, 
7228764,74,134,729, 
157511262,699,614,367, 
986832,88,18,623, 
9256953,223,303,137, 
43069950,550,693,113, 
4194792,29,574,252, 
26430600,434,145,420, 
436076888,809,584,923, 
338281556,821,862,478, 
28878688,664,332,131, 
170781000,520,453,725, 
58591500,330,335,530, 
374756096,928,706,572, 
80670304,122,748,884, 
26475008,256,623,166, 
216887340,906,370,647, 
624602,11,89,638, 
184385856,656,354,794, 
69762550,325,242,887, 
2009124,162,117,106, 
14899360,742,251,80, 
122506300,427,380,755, 
262883277,797,603,547, 
67069335,323,635,327, 
265100550,858,727,425, 
126260225,455,437,635, 
79698042,463,262,657, 
238193865,843,819,345, 
130475000,850,614,250, 
12143040,139,455,192, 
5521880,481,164,70, 
538858628,989,854,638, 
245934630,774,345,921, 
53862516,642,531,158, 
255465462,373,709,966, 
2523870,435,6,967, 
18044532,332,671,81, 
670658560,832,880,916, 
208268844,743,564,497, 
269286615,479,585,961, 
24407901,283,777,111, 
166543000,557,650,460, 
313923154,863,761,478, 
99203544,579,242,708, 
80223280,458,290,604, 
30263750,355,125,682, 
85916000,500,188,914, 
17367570,331,198,265, 
376089660,906,685,606, 
11163768,308,42,863, 
55874780,610,542,169, 
3430196,37,196,473, 
5958400,40,380,392, 
42109284,868,157,309, 
430719950,641,755,890, 
249582036,354,878,803, 
106606234,158,853,791, 
171291042,767,342,653, 
33173148,267,178,698, 
106888145,455,347,677, 
427284000,660,664,975, 
43712688,453,148,652, 
223694214,311,939,766, 
21331986,78,491,557, 
80793560,439,535,344, 
143656256,493,928,314, 
125858376,981,632,203, 
32449410,485,826,81, 
168133680,414,440,923, 
79211520,191,540,768, 
10699695,261,45,911, 
37401540,244,165,929, 
235638000,265,950,936, 
114904251,253,729,623, 
42056144,767,149,368, 
61267428,789,719,108, 
322288680,929,980,354, 
13364736,77,192,904, 
18485760,332,160,348, 
86006232,436,562,351, 
71196160,959,290,256, 
61041897,87,777,903, 
202199920,260,977,796, 
47891875,475,925,109, 
731650556,889,988,833, 
130461408,212,792,777, 
27077106,669,49,826, 
64251936,471,672,203, 
494400,16,103,300, 
30926520,317,120,813, 
475200,18,120,220, 
95009034,158,681,883, 
2386020,95,138,182, 
54317655,687,753,105, 
152245464,713,574,372, 
108231600,188,606,950, 
19063824,223,137,624, 
220780972,578,662,577, 
27093420,766,90,393, 
16571016,196,549,154, 
1462560,55,32,831, 
91289992,719,236,538, 
134839976,478,436,647, 
10852704,424,316,81, 
342760275,871,583,675, 
70002816,379,384,481, 
352485190,961,853,430, 
269829560,910,586,506, 
544112196,989,762,722, 
2735850,61,115,390, 
423757304,779,701,776, 
15382080,21,763,960, 
106550172,963,556,199, 
103501580,812,185,689, 
38424810,790,93,523, 
113755950,469,462,525, 
244974600,468,722,725, 
340549440,476,813,880, 
65711520,424,410,378, 
79482605,137,985,589, 
6071286,281,39,554, 
30641364,234,233,562, 
